Source,Target,Case_3,Case_2,Case_1,DBA_DTW,PAD,Pearson,TLCC,TLCC_time_lag
Wine,DiatomSizeReduction,0.9098713994,0.919172585,0.2424708307,15.8626922,5.914,0.5138029965,0.457,25
ShapesAll,DiatomSizeReduction,1.295314789,0.919172585,0.2424708307,0.3778433264,7.76,0.929555346,0.84,0
Adiac,DiatomSizeReduction,0.8050181866,0.919172585,0.2424708307,0.4045909598,1.584,0.1961877651,0.93,0
Strawberry,Meat,0.6549767852,0.6282308102,0.1867206544,2.176486657,1.38,0.3302624012,0.58,18
50words,Meat,0.6745662689,0.6282308102,0.1867206544,3.17516396,7.742,0.2708168797,0.775,0
Beef,Meat,0.6484087706,0.6282308102,0.1867206544,3.738592244,6.823,0.9318838515,0.81,0
MALLAT,OliveOil,0.967169404,0.8739048839,0.484972775,7.663162225,9.317,0.4726448735,0.51,0
ScreenType,OliveOil,1.066568971,0.8739048839,0.484972775,12.98380033,113.637,0.05438995592,0.535,10
FaceFour,OliveOil,0.9416535497,0.8739048839,0.484972775,12.98380033,38.811,0.0003195659833,0.41,5
UWaveGestureLibraryAll,Wine,0.5649388433,0.5344898701,1.395691037,9.278547087,25.823,0.2029561606,0.53,5
Beef,Wine,0.5899701118,0.5344898701,1.395691037,5.365530899,4.292,0.1535836505,0.495,5
uWaveGestureLibrary_X,Wine,0.5597843528,0.5344898701,1.395691037,5.290527795,8.554,-0.1566566142,0.48,5
RefrigerationDevices,ShapeletSim,0.7307565212,0.7235580683,1.012698293,12.55581284,381.602,0.08295566149,0.495,8
Phoneme,ShapeletSim,0.7189543843,0.7235580683,1.012698293,12.57246907,312.393,0.09466148852,0.33,5
Earthquakes,ShapeletSim,0.7244969606,0.7235580683,1.012698293,14.29323062,194.974,0.0146256657,0.35,15